[00:00:00.000 --> 00:00:05.500]  Think about all of the thousands of businesses that exist, that say they want to do something.
[00:26:07.800 --> 00:26:13.800]  or for bankruptcy but what they did is they they tried to play the lazy game and they said you
[00:26:13.800 --> 00:26:19.800]  know instead of us making our money by properly building foot traffic and getting people in the
[00:26:19.800 --> 00:26:25.800]  door we're going to scam founders who are too novice to the game to realize that this is a
[00:26:25.800 --> 00:26:30.800]  bad investment and that's how we're going to capitalize and make money off of that I mean so many
[00:26:30.800 --> 00:26:36.800]  founders got I mean $20,000 a month or $30,000 a month is fucking ridiculous yeah bananas and you
[00:26:36.800 --> 00:26:40.800]  write like you know show me what you're going to do in the store like have a club you know have a
[00:26:40.800 --> 00:26:44.800]  brand representative sitting there being like let me tell you why swells awesome or eight sleep is
[00:26:44.800 --> 00:26:49.800]  awesome exactly sell stuff you know make them like you know move have some velocity showrooms are
[00:26:49.800 --> 00:26:53.800]  worth like you know this this isn't a car dealership I don't need a showroom I need
[00:26:53.800 --> 00:26:58.800]  velocity yeah and they didn't focus on that I think that was wrong and I think you know
[00:26:58.800 --> 00:27:02.800]  I would have had a lot more respect and a lot more excitement of those things if of these places
[00:27:02.800 --> 00:27:07.800]  if they're like look we're turning this into a convenience store you want like you know an
[00:27:07.800 --> 00:27:10.800]  eight sleep mattress it's right here for you know you want to discover new brands it's
[00:27:10.800 --> 00:27:13.800]  right here we're getting velocity and we're throwing events we're thinking about it that way
[00:27:13.800 --> 00:27:17.800]  there was sort of like we just made this room look beautiful yeah take some Instagram I
[00:27:17.800 --> 00:27:22.800]  think air one is a good comp of you know bring a ton of new brand we're going to find the best
[00:27:22.800 --> 00:27:26.800]  companies yes we're going to bring them in we're going to create an experience for customers
[00:27:26.800 --> 00:27:31.800]  whereas these guys were almost like we want to be the star yes we want show fields to be the star
[00:27:31.800 --> 00:27:36.800]  yes and you brands are a part of it whereas air one said we're going to do everything to make you
[00:27:36.800 --> 00:27:41.800]  brands the stars and we're going to do everything we can to bring customers in the door yeah
[00:27:41.800 --> 00:27:45.800]  and we're going to have a ton of velocity like you know you want to try a new beverage
[00:27:45.800 --> 00:27:48.800]  I everyone has every new beverage I've ever seen in fact that's where I go to discover
[00:27:48.800 --> 00:27:53.800]  beverages and I will buy that beverage because I'm already buying their hot food stuff yeah
[00:27:53.800 --> 00:27:59.800]  and so I think that's a great comparison that I not thought of which is air one is show
[00:27:59.800 --> 00:28:04.800]  fields and neighborhood goods but a successful version genuine velocity genuine customers
[00:28:04.800 --> 00:28:09.800]  and new customer acquisition and new eyeballs and sales people are swiping credit cards
[00:28:09.800 --> 00:28:13.800]  buying stuff yeah they did it the hard way and their business is going to last yeah
[00:28:13.800 --> 00:28:18.800]  it's incredible business want to take time off from running your current Shopify
[00:28:18.800 --> 00:28:22.800]  business to build your next Shopify business when you join open store drive
[00:28:22.800 --> 00:28:26.800]  you can take 12 months off to pursue other ventures while still getting paid
[00:28:26.800 --> 00:28:30.800]  you'll receive guaranteed monthly payments for a year at open store will manage
[00:28:30.800 --> 00:28:35.800]  everything including your businesses marketing us for support inventory and more
[00:28:35.800 --> 00:28:40.800]  Shopify businesses with more than $500,000 in yearly net sales ball fight
[00:28:40.800 --> 00:28:44.800]  had to open down store slash limited for details
[00:28:44.800 --> 00:28:49.800]  okay next thing I want to talk about is Google pricing transparency yeah
[00:28:49.800 --> 00:28:54.800]  do you know Caleb he owns Haven the back company yeah yeah so Caleb tweeted about this
[00:28:54.800 --> 00:29:00.800]  couple weeks ago and essentially it's like well Google is trying to do is they said
[00:29:00.800 --> 00:29:05.800]  okay you got Amazon and you click something Amazon tells you if it's a good price
[00:29:05.800 --> 00:29:10.800]  for that product or if the prices come down you can set pricing alerts honey
[00:29:10.800 --> 00:29:14.800]  now does the same thing as well you go to Amazon and tells you it'll say like
[00:29:14.800 --> 00:29:18.800]  oh yeah lowest price 30 days yeah yeah if you go to honey it'll tell you the same
[00:29:18.800 --> 00:29:22.800]  thing yeah Google is now going to start doing the same thing where you know
[00:29:22.800 --> 00:29:27.800]  let's say you run a sale on haven haven runs a 40% off sale you go to the to Google
[00:29:27.800 --> 00:29:32.800]  shopping or you maybe search it it's gonna say oh this price was recently this
[00:29:32.800 --> 00:29:37.800]  bag was recently 40% off now it's you know X percent more than what it just
[00:29:37.800 --> 00:29:42.800]  was and that is their new terrible yeah they're new initiative for pricing
[00:29:42.800 --> 00:29:47.800]  transparency great for customers like as a consumer look for that yeah as a brand
[00:29:47.800 --> 00:29:51.800]  that's pretty fucked up you know like that can that will hurt a lot of businesses
[00:29:51.800 --> 00:29:57.800]  especially in Q3 Q4 or around you know Valentine's Day or you know spring
[00:29:57.800 --> 00:30:01.800]  or later day all these things do I have to update my prices and Google shopping
[00:30:01.800 --> 00:30:04.800]  for them to recognize that for instance if I'm running a black Friday sale and I don't
[00:30:04.800 --> 00:30:07.800]  update my price on Google shopping Google doesn't know I think they're still
[00:30:07.800 --> 00:30:10.800]  gonna get it they're going through the emails that I'm sending out through like Gmail
[00:30:10.800 --> 00:30:16.800]  or I think just the script on your site fuck so there is a way to opt out you can opt
[00:30:16.800 --> 00:30:22.800]  out as a brand and it's a very long very randomized Google form URL but I made a
[00:30:22.800 --> 00:30:32.800]  shortcut for it so anybody can go to Nick.co slash price D's nuts price D E E Z
[00:30:32.800 --> 00:30:37.800]  nuts and it's a Google form you fill out you put your merchandise ID your store
[00:30:37.800 --> 00:30:43.800]  URL and they will completely omit your pricing transparency from the catalog
[00:30:43.800 --> 00:30:48.800]  of all the pricing that they do. I think there's a larger conversation that we're
[00:30:48.800 --> 00:30:53.800]  gonna have in the next six months about this one of the reasons the FTC is suing Amazon
[00:30:53.800 --> 00:30:57.800]  and one of the places I think they actually might win is let's say you're selling
[00:30:57.800 --> 00:31:01.800]  Deodorant it's $12 and they see you're selling it for $11 a target
[00:31:01.800 --> 00:31:06.800]  they will hide the buy box and say available from other retailers and make it
[00:31:06.800 --> 00:31:11.800]  really difficult for you to buy the products on Amazon and your sales will drop 95%
[00:31:11.800 --> 00:31:15.800]  overnight and because Amazon is like if we can find a cheaper price online where
[00:31:15.800 --> 00:31:20.800]  when we scrape your other sites, we will not make it very easy to sell this product
[00:31:20.800 --> 00:31:24.800]  and the FTC is like this is bad for consumers and like actually I think it's probably
[00:31:24.800 --> 00:31:27.800]  great for consumers but terrible for brands because you're like if I sell a
[00:31:27.800 --> 00:31:31.800]  cheaper at target.com I lose all my Amazon sales so I can't do that
[00:31:31.800 --> 00:31:35.800]  and so you never make it cheaper on Amazon on target.com
[00:31:35.800 --> 00:31:40.800]  I think the FTC has a decent chance of winning that part of their lawsuit against Amazon
[00:31:40.800 --> 00:31:44.800]  which will affect price transparency because I think you'll be able to have different
[00:31:44.800 --> 00:31:48.800]  prices on different websites then like target.com and Amazon.com will have different
[00:31:48.800 --> 00:31:52.800]  prices and I don't know what that will mean but I do believe that there's a larger
[00:31:52.800 --> 00:31:56.800]  question about what happens with prices here. That is a very scary if Google would look
[00:31:56.800 --> 00:32:00.800]  at emails or scrape your site and say I see that you're offering there's a red bar
[00:32:00.800 --> 00:32:05.800]  at the top or a blue bar at the top that says say 40% using code native on Black Friday.
[00:32:05.800 --> 00:32:10.800]  We use to have the same issue at hint like during the summer, hint inside
[00:32:10.800 --> 00:32:15.800]  target doesn't sell in cases you can buy an individual bottle and you can buy
[00:32:15.800 --> 00:32:21.800]  10 bottles for $10 basically a dollar bottle in the summer and then Amazon
[00:32:21.800 --> 00:32:25.800]  would price match that so we would see subscriber numbers would go down as
[00:32:26.800 --> 00:32:31.800]  soon as the summer started because you could get a case for $12 on Amazon versus
[00:32:31.800 --> 00:32:36.800]  $16 on subscription and then at the end of summer our subscribers would come back
[00:32:36.800 --> 00:32:40.800]  because it's the better place for them to shop but what's interesting is they don't
[00:32:40.800 --> 00:32:44.800]  poll Amazon does not price match Costco. That is really interesting
[00:32:44.800 --> 00:32:49.800]  and I think that they couldn't because Costco has rules internally where
[00:32:49.800 --> 00:32:53.800]  we can only make a certain margin on any given product. If we have a
[00:32:53.800 --> 00:32:56.800]  Kirkland product I don't know what the percentages are but I'm going to make them up.
[00:32:56.800 --> 00:33:02.800]  We can only make 20% on a Kirkland branded product and only 10% or 15%
[00:33:02.800 --> 00:33:08.800]  on a other non-Kirkland branded product and so if you try and price match them
[00:33:08.800 --> 00:33:13.800]  the entire world will be a war. In fact, the real strategy is
[00:33:13.800 --> 00:33:16.800]  don't ever get into Costco. Almost everyone who gets into Costco has to make
[00:33:16.800 --> 00:33:22.800]  unique skews to ensure that Amazon and Target and Walmart don't go to war
[00:33:22.800 --> 00:33:27.800]  with you in Costco because Costco will say we're selling one deodorant for $7
[00:33:27.800 --> 00:33:31.800]  and you're like fuck, well now Walmart is going to do that so then you have to be
[00:33:31.800 --> 00:33:35.800]  like I have to sell four pack in Costco and I have to make a special packaging
[00:33:35.800 --> 00:33:40.800]  so it's for for $28 so Walmart is like okay I guess we don't price match
[00:33:40.800 --> 00:33:44.800]  a four pack because we don't have a four pack. So it is really difficult
[00:33:44.800 --> 00:33:47.800]  that once you start thinking that way it's really difficult. That price
[00:33:47.800 --> 00:33:51.800]  transparency is scary because yeah I guess I'm like right after Black Friday
[00:33:51.800 --> 00:33:56.800]  like January. Everybody's going to see you're over 50%
[00:33:56.800 --> 00:34:00.800]  You know we're just a little bit before Black Friday. Do you think people
[00:34:00.800 --> 00:34:04.800]  have stopped shopping waiting for Black Friday now? I think generally a lot of people
[00:34:04.800 --> 00:34:08.800]  have slowed down for shopping. Even me personally, I've kind of slowed down
[00:34:08.800 --> 00:34:12.800]  shopping. Yeah. I'm not that I'm a big shopper but if there's something
[00:34:12.800 --> 00:34:15.800]  I want like you know instead of going to buy an allot today
[00:34:15.800 --> 00:34:19.800]  I'm just going to wait two weeks. Yeah that price transparency is really scary
[00:34:19.800 --> 00:34:22.800]  I would imagine that Google's probably I think Google will knock at those sales
[00:34:22.800 --> 00:34:25.800]  unless you update Google shopping but I'm not sure.
[00:34:25.800 --> 00:34:29.800]  Yeah. You know what else I was looking at Facebook shops recently
[00:34:29.800 --> 00:34:32.800]  I wish they would let you import reviews on to Facebook shops.
[00:34:32.800 --> 00:34:36.800]  I think they will soon. I think that's probably within the next like six months
[00:34:36.800 --> 00:34:39.800]  They almost have to. It's a big hole in the like ability to shop
[00:34:39.800 --> 00:34:42.800]  like you know I know we talked about TikTok shops recently a while ago
[00:34:42.800 --> 00:34:45.800]  and I was like can you import reviews on to TikTok shops? I don't think so.
[00:34:45.800 --> 00:34:49.800]  You got to be able to do that. You can on Google. Yeah every other
[00:34:49.800 --> 00:34:54.800]  market place you can. Okay well that's crazy if the Google shopping
[00:34:54.800 --> 00:34:57.800]  transparency happens. I don't know how it will work itself out.
[00:34:57.800 --> 00:34:59.800]  It's got coast slash price diesel.
[00:34:59.800 --> 00:35:04.800]  Okay next thing that I put together so I started to think
[00:35:04.800 --> 00:35:07.800]  you know I was reading a few articles on business of fashion
[00:35:07.800 --> 00:35:12.800]  and one of the punchlines of the articles was the hardest thing for any
[00:35:12.800 --> 00:35:17.800]  direct consumer or founder led brand today is brand awareness.
[00:35:17.800 --> 00:35:20.800]  Like it's the most costly thing on the now yeah.
[00:35:20.800 --> 00:35:24.800]  And so I just started to think you know big brands like
[00:35:24.800 --> 00:35:30.800]  Olaplex can send a million samples to Sephora and say hey
[00:35:30.800 --> 00:35:34.800]  whenever you open a shopping bag to put products in just drop one of ours in.
[00:35:34.800 --> 00:35:38.800]  All birds can say well we're just going to open up retail stores across the
[00:35:38.800 --> 00:35:43.800]  country and you know loops beauty can say we're going to hire Emily Radikowski
[00:35:43.800 --> 00:35:46.800]  to be the face of our brand. But what do the small guys do?
[00:35:46.800 --> 00:35:50.800]  How do the small guys generate brand awareness so I've got a few ideas
[00:35:50.800 --> 00:35:53.800]  I'm curious about your feedback on the ideas and okay great ideas that come
[00:35:53.800 --> 00:36:00.800]  to mind. Okay so the first one is show feels. Yeah neighborhood good.
[00:36:00.800 --> 00:36:04.800]  Okay first one is you know just creating a ton of organic content on
[00:36:04.800 --> 00:36:09.800]  platforms that have that push so you know this is Reels TikTok and
[00:36:09.800 --> 00:36:14.800]  YouTube shorts second one is collaborating with brands where you
[00:36:14.800 --> 00:36:19.800]  put an insert with an offer from your brand into their package and vice
[00:36:19.800 --> 00:36:22.800]  versa which I feel like you know hello fresh almost has an entire
[00:36:22.800 --> 00:36:26.800]  ads platform and business doing this like I think they charge on a
[00:36:26.800 --> 00:36:30.800]  CPM basis to do this for other companies I'm shocked more people haven't
[00:36:30.800 --> 00:36:33.800]  done this. I don't think it's very brand dilutive and I don't think
[00:36:33.800 --> 00:36:37.800]  anybody opens a package sees you know if you're if you're buying
[00:36:37.800 --> 00:36:41.800]  jolly and you see something for cadence I don't think somebody goes wow
[00:36:41.800 --> 00:36:45.800]  jolly is cheap or you know jolly's brand is going down so I think
[00:36:45.800 --> 00:36:49.800]  that's another one I think email swaps can be done the same way next
[00:36:49.800 --> 00:36:54.800]  one that I think is super low hanging fruit is in-person events so
[00:36:54.800 --> 00:36:58.800]  you know Thai Haney who start outdoor voices then recently started
[00:36:58.800 --> 00:37:01.800]  a tech company and started company called jolly does this really well
[00:37:01.800 --> 00:37:05.800]  where she did this at O.V. but now she does it with jolly she'll just
[00:37:05.800 --> 00:37:09.800]  say hey I'm in Chicago we're all going to meet at this place and
[00:37:09.800 --> 00:37:13.800]  we're going to go run for an hour and it'll be easy pace and you know 50
[00:37:13.800 --> 00:37:16.800]  to 60 people show up and by the end of that there's 60 people who will
[00:37:16.800 --> 00:37:20.800]  post one to three pieces of content that might be you know 20 30 50
[00:37:20.800 --> 00:37:25.800]  thousand impressions as a result of you know an hour investment for a run
[00:37:25.800 --> 00:37:29.800]  and you know running is free most of these events very easy to put on
[00:37:29.800 --> 00:37:33.800]  if you need product for events most brands will just donate it because they also
[00:37:33.800 --> 00:37:37.800]  want you know product and content whatever next one's another kind of
[00:37:37.800 --> 00:37:41.800]  like low hanging fruit is just media outreach you know if you craft a really
[00:37:41.800 --> 00:37:45.800]  good pitch and sort of include the punch line and ship it to email it to
[00:37:45.800 --> 00:37:48.800]  a bunch of editors and just ask them hey do you want samples you have a
[00:37:48.800 --> 00:37:52.800]  probably a 5% chance that somebody's going to respond and say they want
[00:37:52.800 --> 00:37:55.800]  it and then maybe half of those people will be interested in one of those
[00:37:55.800 --> 00:38:00.800]  people will write but that one article you know my generate I don't
[00:38:00.800 --> 00:38:04.800]  know 10,000 20,000 impressions whatever it is totally worth it if you're
[00:38:04.800 --> 00:38:09.800]  doing it for free another one is try to get placement in online market
[00:38:09.800 --> 00:38:13.800]  places so you don't necessarily have to sell you don't have to fulfill
[00:38:13.800 --> 00:38:18.800]  through the company that owns the marketplace or the retailer so maybe
[00:38:18.800 --> 00:38:21.800]  it's Walmart dot com you don't have to fulfill it through Walmart dot com
[00:38:21.800 --> 00:38:26.800]  or if it's verishop you don't have to send your inventory to verishop but just
[00:38:26.800 --> 00:38:30.800]  have your inventory sinked so that you can be listed on their site so people
[00:38:30.800 --> 00:38:35.800]  are searching for you know shower head on Nordstrom Jolie pops up but then
[00:38:35.800 --> 00:38:40.800]  you still fulfill it yourself and that can be anywhere from verishop to Nordstrom
[00:38:40.800 --> 00:38:45.800]  to whatever another one that I've seen work really well with younger
[00:38:45.800 --> 00:38:50.800]  demo brands as contests so you know back when we used to run contests it was
[00:38:50.800 --> 00:38:54.800]  like you know give us your email five brands pitch in like you know the
[00:38:54.800 --> 00:38:58.800]  skim runs it hints says we're going to give a thousand bucks native says we're
[00:38:58.800 --> 00:39:02.800]  gonna give you know deodorant for two years and you'll get like some flight
[00:39:02.800 --> 00:39:07.800]  to permuda all expenses paid that doesn't really work you know that tends
[00:39:07.800 --> 00:39:11.800]  to bring like pretty shitty customers but what feastables does where they say
[00:39:11.800 --> 00:39:14.800]  when you buy a chocolate bar you're entered to win a hundred grand or a Tesla
[00:39:14.800 --> 00:39:19.800]  or something prime now does the same thing and it does really well it drives
[00:39:19.800 --> 00:39:24.800]  a huge bump in revenue and they tend to be people who are also kind of fans
[00:39:24.800 --> 00:39:30.800]  of the brand as well second the last one is create educational content so
[00:39:30.800 --> 00:39:34.800]  a lot of brands you know like if you're selling like long weekend we sell a
[00:39:34.800 --> 00:39:37.800]  lot of them instead of just talking about how it's going to make your face
[00:39:37.800 --> 00:39:42.800]  hydrated you go deep into the ingredients of how it does that and what it does
[00:39:42.800 --> 00:39:46.800]  so that the other person actually understands it and feels like they're learning
[00:39:46.800 --> 00:39:51.800]  something that creates just a better relationship and last one is you know I've
[00:39:51.800 --> 00:39:56.800]  always been fascinated by if you walk into equinox the screens in the lobby of
[00:39:56.800 --> 00:39:59.800]  equinox basically they're sponsored by American Express it's got the American
[00:39:59.800 --> 00:40:04.800]  Express logo at the bottom and equinox has sort of turned their lobby or
[00:40:04.800 --> 00:40:08.800]  turned their you know there are four profit company but they've they've sort
[00:40:08.800 --> 00:40:12.800]  of become this media platform and I wonder if there's a way you can turn your
[00:40:12.800 --> 00:40:16.800]  brand into somewhat of a media property I guess it's kind of similar to how
[00:40:16.800 --> 00:40:20.800]  Hello Fresh has an ads business in their box but I think there's something
[00:40:20.800 --> 00:40:24.800]  there where you know you can essentially fund impressions but from somebody
[00:40:24.800 --> 00:40:29.800]  that's because you have a very valuable audience in your palm but I'm curious
[00:40:29.800 --> 00:40:33.800]  what you think and if you've got other ideas you'd contribute here I love those
[00:40:33.800 --> 00:40:36.800]  ideas I've got a bunch of thoughts here one is let's start with content
[00:40:36.800 --> 00:40:39.800]  because that's the first thing I wrote there's a brand called ancient
[00:40:39.800 --> 00:40:43.800]  nutrition run by a guy named doctor acts and their entire business model has
[00:40:43.800 --> 00:40:47.800]  been working to create the best content in the world and so whenever people are
[00:40:47.800 --> 00:40:50.800]  searching things they're going to read about whatever their issue is on doctor
[00:40:50.800 --> 00:40:53.800]  acts or ancient nutritional whatever it is and it's a result by our products
[00:40:53.800 --> 00:40:56.800]  and it's been super effective and it's a great but like you know first they
[00:40:56.800 --> 00:41:01.800]  make like you know doctor acts of sort of like the OG Andrew Hubertman
[00:41:01.800 --> 00:41:06.800]  yeah I'm not Dr. Osbert Andrew Hubert but like you know he was talking about
[00:41:06.800 --> 00:41:09.800]  and you know I'm not I don't follow either of them well enough to understand
[00:41:09.800 --> 00:41:13.800]  whether they like have the same ideas but like you know they'd write an article
[00:41:13.800 --> 00:41:16.800]  being like if you feel bloated here's what you should do when you feel bloated
[00:41:16.800 --> 00:41:19.800]  and like you know they'll then you all of a sudden they're like okay you
[00:41:19.800 --> 00:41:23.800]  read this let's retarget you with bloating you know supplements or something to
[00:41:23.800 --> 00:41:27.800]  that effect you know you're trying to gain what protein should you use way or
[00:41:27.800 --> 00:41:30.800]  soy or how much did you have they'll answer that in a really comprehensive
[00:41:30.800 --> 00:41:34.800]  and thoughtful way like a really great article and then they'll follow that
[00:41:34.800 --> 00:41:38.800]  up with ads to hey you should buy ancient nutrition protein or ancient
[00:41:38.800 --> 00:41:42.800]  nutrition collagen because we have really good products we just know we have
[00:41:42.800 --> 00:41:44.800]  more than just really good content we also have really good products
[00:41:44.800 --> 00:41:48.800]  yeah and so I thought they did that with content really well I'm to go through
[00:41:48.800 --> 00:41:51.800]  all these and then I'll tell you why I think almost all of them are really
[00:41:51.800 --> 00:41:55.800]  tough to do okay naked wines does something specific their entire business model
[00:41:55.800 --> 00:41:59.800]  is we're going to put an insert into your box they'd call up me a native and
[00:41:59.800 --> 00:42:03.800]  they'd be like hey I'm gonna pay you like an eighty dollar CPM let us put your
[00:42:03.800 --> 00:42:07.800]  art inserts into your box and I was like no we never did it but like there is
[00:42:07.800 --> 00:42:11.800]  CPM that they were ready to pay was insane and the coupon like they had a
[00:42:11.800 --> 00:42:14.800]  really high a o v and the reason this work for them was they were like the coupon
[00:42:14.800 --> 00:42:17.800]  would say the card that you get would say get one hundred dollars with the free
[00:42:17.800 --> 00:42:21.800]  wine and you're like wow that's a lot of free wine and then you look at the card
[00:42:21.800 --> 00:42:24.800]  and you go on their website and you're like okay my a o v has to be two hundred
[00:42:24.800 --> 00:42:29.800]  dollars yeah this makes it this makes life really tough there's a bunch of
[00:42:29.800 --> 00:42:33.800]  businesses like I think true classics may do this who does us that I've recently
[00:42:33.800 --> 00:42:37.800]  seen we were you purchase something and they're like here's pop-ups afterwards
[00:42:37.800 --> 00:42:41.800]  of like you know they're selling the thank you page pop-up oh yeah I think true
[00:42:41.800 --> 00:42:45.300]  classics does it I'm not positive I just got tricked are not tricked but I bought a
[00:42:45.300 --> 00:42:49.800]  second pa ramp on alpha pa and they do that at the end on the thank you page
[00:42:49.800 --> 00:42:53.800]  and then it was like hey we're gonna give you right now for the next four minutes
[00:42:53.800 --> 00:42:58.800]  you'll get 15% off if you buy a second ramp okay yeah and that makes a ton of sense
[00:42:58.800 --> 00:43:04.800]  and I love that and you have a dog at taco oh oh in as in the Bay Area okay gotcha
[00:43:04.800 --> 00:43:08.800]  yeah they're like I guess I'm not sure of true classics it's a bit of other
[00:43:08.800 --> 00:43:13.400]  Brit God I can't think of who does this with me I know I buy something like I
[00:43:13.400 --> 00:43:16.300]  have to wire buy something all the time then all of a sudden I see this in every
[00:43:16.300 --> 00:43:19.640]  week I see it I'm like upset but now I can't think about but like I'm the thank you
[00:43:19.640 --> 00:43:23.800]  page I'll be like do you want a free credit report right now click yes oh like
[00:43:23.800 --> 00:43:28.300]  rocked yeah yeah RKT yeah that's what it is they're so scummy though yeah that is
[00:43:28.300 --> 00:43:32.520]  uh that's that's brand impressions I the email swaps thing we you know I
[00:43:32.520 --> 00:43:35.640]  think that used to work really well I feel like it's dead now I don't know if
[00:43:35.640 --> 00:43:40.640]  it really works right now but if going to the contest you know I knew a one
[00:43:40.640 --> 00:43:44.120]  brand and I'm not sure if I can say their name so I won't they did like a
[00:43:44.120 --> 00:43:48.160]  bot you know win a Ford Bronco the Ford Bronco just come out is awesome they're
[00:43:48.160 --> 00:43:51.400]  like we have the most expensive one we tricked it out with like you know we
[00:43:51.400 --> 00:43:54.800]  basically sent it to MTV Cribs before car what was that MTV show where
[00:43:54.800 --> 00:43:58.000]  they fixed your car and make it super night yet Pimp my ride they sent it to Pimp
[00:43:58.000 --> 00:44:01.800]  my ride looks awesome you can win this Ford Bronco give us your email address
[00:44:01.800 --> 00:44:05.600]  and then they ran Facebook ads against that win a Ford Bronco win a Ford Bronco
[00:44:05.600 --> 00:44:10.960]  and their their Facebook ad strategy was 50% sell this products 50% win a Ford
[00:44:10.960 --> 00:44:14.800]  Bronco that's been pimped out and worked really well for them they collected
[00:44:14.800 --> 00:44:19.320]  millions of email addresses and they made like some of those convert at caskers we
[00:44:19.320 --> 00:44:23.840]  did this thing where we were like you know Pappy Van Winkle is I've heard it it's
[00:44:23.840 --> 00:44:26.720]  this bourbon that's like impossible to get it sells for like three hundred
[00:44:26.720 --> 00:44:29.720]  dollars they sell it in like November every year there's only like 500
[00:44:29.720 --> 00:44:33.840]  bottles in like the state of New York if you go shop at asterisk wine in
[00:44:33.840 --> 00:44:37.280]  spirits and you spend 50 thousand dollars they'll sell you one for three hundred
[00:44:37.280 --> 00:44:41.720]  dollars and like what we did at caskers was we were like win a bottle of Pappy Van
[00:44:41.720 --> 00:44:45.640]  Winkle and people went insane for that because like it was super hard to get
[00:44:45.640 --> 00:44:49.200]  your hands on and so like you know they'd share it and get like you know
[00:44:49.200 --> 00:44:52.080]  share with them we're like share it with three friends and you get an entry
[00:44:52.080 --> 00:44:54.600]  for every time you share it with your friends as well and so that worked out
[00:44:54.600 --> 00:44:57.960]  really well for us I always thought people in the wine space should do this like
[00:44:57.960 --> 00:45:02.120]  if I was a wine if I was selling wine and I don't know I'd be like I don't
[00:45:02.120 --> 00:45:04.880]  know what wine like you know screaming eagle I think that's hard to get I'd
[00:45:04.880 --> 00:45:08.640]  be like script win a bottle of screaming eagle I find a really expensive wine or
[00:45:08.640 --> 00:45:12.200]  one that's really hard to get and I'd be like Chateau Lafitte let me put this on
[00:45:12.200 --> 00:45:16.080]  and try and get somebody to buy it I think that'd be really interesting as well
[00:45:16.080 --> 00:45:19.920]  that's not as hard to do we never ran Facebook ads against that because I
[00:45:19.920 --> 00:45:21.800]  didn't know anything about Facebook ads but I think that would have been a
[00:45:21.800 --> 00:45:24.720]  fantastic look if I would consider now that I'm thinking about it I would
[00:45:24.720 --> 00:45:27.880]  consider buying caskers today just to see if I could run Facebook ads and make
[00:45:27.880 --> 00:45:31.000]  that my acquisition strategy because I think it could be that successful yeah
[00:45:31.000 --> 00:45:36.240]  um third party retailers I love that idea I think Etsy is probably underused by
[00:45:36.240 --> 00:45:39.960]  a lot of people who are making skin and makeup like if I was making makeup I
[00:45:39.960 --> 00:45:44.440]  would try and sell on Etsy if I was a small retailer media outreach great
[00:45:44.440 --> 00:45:48.000]  idea you know Ryan always says that he's able to get people to post about
[00:45:48.000 --> 00:45:51.360]  Jolie all the time he's like for every order we get we get like half a piece
[00:45:51.360 --> 00:45:56.920]  of like we get 0.5 content pieces we tried that so hard in Native Island I
[00:45:56.920 --> 00:46:01.840]  started putting on insert cards share and tag this and enter to win a contest
[00:46:01.840 --> 00:46:05.120]  of like you know $100 Starbucks gifts certificate we're gonna give this away
[00:46:05.120 --> 00:46:10.600]  every week please fucking tag us nobody didn't no mother fucker didn't
[00:46:10.600 --> 00:46:13.920]  and I couldn't get anybody to do it I don't know how he gets people to do it so
[00:46:13.920 --> 00:46:17.440]  if you can get if you can share that strategy that'd be great for the life of
[00:46:17.440 --> 00:46:20.640]  me I would have had to put in your in the insert card I would have put in if
[00:46:20.640 --> 00:46:23.320]  you don't tag us we're gonna come to your house and beat the fuck out of you
[00:46:23.320 --> 00:46:27.040]  people still wouldn't have tagged us I don't know what why was so fucking hard to
[00:46:27.040 --> 00:46:30.280]  do that but I think that's really hard to do he seems to have cracked that
[00:46:30.280 --> 00:46:33.680]  nut and I wish he'd tell people how he did that and I understand why it wouldn't
[00:46:33.680 --> 00:46:38.240]  but we try I tried that knows a huge failure I think the media outreach so here's
[00:46:38.240 --> 00:46:41.680]  why I think that things are really tough like I want all those things to work
[00:46:41.680 --> 00:46:44.800]  and to be honest I think people have cracked those things it's just a lot of
[00:46:44.800 --> 00:46:48.560]  effort it is a lot time I engine nutrition is creates blog posts and they're
[00:46:48.560 --> 00:46:51.720]  like we've got this down to science will look up below being will look up the top
[00:46:51.720 --> 00:46:54.760]  10 articles will consume all that information we have to make something it's
[00:46:54.760 --> 00:46:58.680]  50% longer and has 50% better information and I don't know how they measure
[00:46:58.680 --> 00:47:02.320]  that but that's really impressive I do think the contest the email swaps all
[00:47:02.320 --> 00:47:06.600]  those things are like less time and more interesting and now the Facebook
[00:47:06.600 --> 00:47:10.160]  exists you can like create funnels to drive people to give your email address
[00:47:10.160 --> 00:47:13.200]  for that I think the hard part is are those just the shittiest customers in
[00:47:13.200 --> 00:47:16.560]  the world or can you create flows such that they actually convert into customers
[00:47:16.560 --> 00:47:21.700]  later on cool alright I want to get to this last part which is you know this
[00:47:21.700 --> 00:47:25.740]  is somebody came to work with us I thought we were gonna work with them for
[00:47:25.740 --> 00:47:29.100]  sure then they went another direction they were can you share their name or
[00:47:29.100 --> 00:47:31.260]  you can't show them now I want to share their okay we're about to work with
[00:47:31.260 --> 00:47:38.440]  them they came back they went to work with a branding agency instead of working
[00:47:38.440 --> 00:47:42.860]  with us which you know terrible idea but they launched didn't go as planned
[00:47:42.860 --> 00:47:46.780]  and they came back and just as I was auditing their site you know there was one
[00:47:46.780 --> 00:47:52.200]  very obvious miss that they had and it was that they didn't have clavio
